総合順位	No.	氏名	性別	都道府県	総合記録	スイムラップ	S順	ミニラン	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	区分	区分順位
1	302	田畑 沫葵	男	兵庫県	01:25:25	00:06:30	1	00:02:40	00:47:52	2	00:57:02	1	00:28:23	5	1		男子20-29歳	
2	305	日野 龍杜	男	宮城県	01:25:55	00:07:20	2	00:02:59	00:48:52	3	00:59:11	2	00:26:44	2	2		男子20-29歳	
3	338	森田 翼	男	千葉県	01:30:18	00:08:57	7	00:03:27	00:49:58	4	01:02:22	3	00:27:56	4	3		男子50-59歳	
4	306	中谷 啓太朗	男	奈良県	01:31:23	00:11:00	21	00:04:20	00:47:04	1	01:02:24	4	00:28:59	6	4		男子20-29歳	1
5	303	津田 莞太	男	神奈川県	01:32:41	00:12:20	34	00:03:09	00:50:59	6	01:06:28	8	00:26:13	1	5		男子20-29歳	2
6	307	杉浦 巧真	男	東京都	01:33:27	00:08:34	6	00:03:11	00:53:58	10	01:05:43	6	00:27:44	3	6		男子20-29歳	3
7	311	野本 将平	男	東京都	01:33:49	00:08:23	4	00:03:17	00:51:56	7	01:03:36	5	00:30:13	8	7		男子20-29歳	4
8	332	石井 智明	男	東京都	01:35:39	00:09:32	9	00:05:39	00:50:47	5	01:05:58	7	00:29:41	7	8		男子50-59歳	1
9	315	渡部 晃大朗	男	千葉県	01:38:15	00:08:30	5	00:03:42	00:54:21	12	01:06:33	9	00:31:42	10	9		男子30-39歳	1
10	356	丹野 憲仁	男	神奈川県	01:41:13	00:10:11	16	00:04:11	00:53:59	11	01:08:21	11	00:32:52	13	10		男子60-69歳	1
11	347	齋藤 勉	男	新潟県	01:41:49	00:09:27	8	00:04:56	00:53:51	9	01:08:14	10	00:33:35	16	11		男子50-59歳	2
12	321	橋本 貴幸	男	埼玉県	01:42:24	00:10:04	15	00:05:40	00:56:18	14	01:12:02	15	00:30:22	9	12		男子40-49歳	1
13	346	出口 雄二	男	福島県	01:43:02	00:09:35	10	00:05:21	00:54:22	13	01:09:18	12	00:33:44	17	13		男子50-59歳	3
14	340	竹本 禄是	男	千葉県	01:43:49	00:11:50	27	00:05:19	00:53:33	8	01:10:42	13	00:33:07	15	14		男子50-59歳	4
15	342	正木 英二	男	神奈川県	01:46:06	00:10:43	19	00:03:45	00:59:14	16	01:13:42	16	00:32:24	11	15		男子50-59歳	5
16	341	藤村 幸彦	男	神奈川県	01:47:15	00:10:30	17	00:04:10	00:57:17	15	01:11:57	14	00:35:18	19	16		男子50-59歳	6
17	312	中山 祥貴	男	新潟県	01:49:50	00:09:56	13	00:04:25	01:00:49	18	01:15:10	18	00:34:40	18	17		男子20-29歳	5
18	336	桑野 真一	男	神奈川県	01:52:25	00:12:05	29	00:04:17	01:03:11	20	01:19:33	19	00:32:52	14	18		男子50-59歳	7
19	322	山中 俊輔	男	大阪府	01:55:10	00:10:48	20	00:03:27	01:00:10	17	01:14:25	17	00:40:45	25	19		男子40-49歳	2
20	327	三輪 堅太	男	山形県	01:57:17	00:12:19	32	00:06:42	01:01:34	19	01:20:35	20	00:36:42	21	20		男子40-49歳	3
21	350	平野 茂之	男	福島県	02:01:17	00:09:56	12	00:07:20	01:06:19	22	01:23:35	21	00:37:42	22	21		男子50-59歳	8
22	343	野本 肇	男	山形県	02:02:42	00:11:49	26	00:04:42	01:13:31	27	01:30:02	26	00:32:40	12	22		男子50-59歳	9
23	324	茂木 英昭	男	神奈川県	02:03:06	00:12:00	28	00:05:26	01:07:20	23	01:24:46	22	00:38:20	24	23		男子40-49歳	4
24	333	新井 美幸	女	埼玉県	02:05:12	00:11:36	23	00:04:48	01:10:46	25	01:27:10	23	00:38:02	23		1	女子50-59歳	
25	317	山本 幸大	男	愛知県	02:06:53	00:10:03	14	00:05:11	01:15:57	34	01:31:11	28	00:35:42	20	24		男子30-39歳	2
26	319	中村 雅和	男	神奈川県	02:09:50	00:10:34	18	00:06:45	01:09:54	24	01:27:13	24	00:42:37	29	25		男子30-39歳	3
27	24	疋田 きらり	女	東京都	02:10:50	00:07:25	3	00:06:17	01:13:33	28	01:27:15	25	00:43:35	30		2	女子20-29歳	
28	328	倉山 智春	男	東京都	02:15:34	00:09:46	11	00:06:04	01:15:12	30	01:31:02	27	00:44:32	31	26		男子40-49歳	5
29	344	宮本 純子	女	東京都	02:18:07	00:23:32	44	00:04:54	01:03:42	21	01:32:08	29	00:45:59	34		3	女子50-59歳	
