Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Alessio Crociani	M	MPRO	1	3:33:06	0:21:44	1:54:10	1:13:49
2	Valdemar Solok	M	MPRO	2	3:33:20	0:22:31	1:51:20	1:16:07
3	Henry Räppo	M	MPRO	3	3:34:27	0:22:29	1:52:48	1:15:34
4	Gabriel Sandör	M	MPRO	4	3:35:17	0:23:19	1:55:47	1:12:29
5	Joran Driesen	M	MPRO	5	3:35:35	0:23:24	1:55:50	1:12:48
6	Martin Demuth	M	MPRO	6	3:36:17			1:16:30
7	Ognjen Stojanovic	M	MPRO	7	3:36:50		1:55:48	1:13:52
8	Thomas Ott	M	MPRO	8	3:37:46			
9	Bastian Peitersen	M	MPRO	9	3:38:54	0:25:31	1:56:31	1:12:27
10	Thor Bendix Madsen	M	MPRO	10	3:39:16			1:16:09
11	Vincent Größer	M	MPRO	11	3:40:19			1:14:50
12	Hugo Figueiredo	M	MPRO	12	3:40:47	0:23:27	1:55:53	1:17:38
13	Filip Szymonik	M	MPRO	13	3:42:06	0:24:28	1:57:31	1:16:15
14	Chase Mcqueen	M	MPRO	14	3:42:40	0:21:42	1:57:09	1:19:54
15	Morgan Rhodes	M	MPRO	15	3:43:56	0:24:09	1:57:59	1:17:59
16	Andreas Dreitz	M	MPRO	16	3:44:46	0:24:27	1:56:22	1:19:26
17	Silas Schmitt	M	MPRO	17	3:44:54			1:22:08
18	Michal Grabowski	M	MPRO	18	3:44:59			1:18:52
19	Renning Elischer	M	MPRO	19	3:45:49			1:19:31
20	Sergiusz Sobczyk	M	M30-34	1	3:46:02	0:26:24	2:01:07	1:14:25
21	Jan Poplawski	M	MPRO	20	3:47:53			1:16:14
22	Samuel Linsenmeier	M	MPRO	21	3:48:27	0:23:25	2:03:52	1:17:10
23	Yegor Martynenko	M	MPRO	22	3:50:28	0:24:24	2:02:05	
24	Christoph Krammer	M	M18-24	1	3:50:53		1:57:43	1:20:09
25	Ron Epple	M	MPRO	23	3:51:24		1:55:38	1:28:09
26	Raphael Petrovic	M	M18-24	2	3:51:52		2:03:37	
27	Adam Lennell	M	MPRO	24	3:54:14	0:27:23	1:58:43	1:23:33
28	Donal Mongey	M	M25-29	1	3:54:25	0:27:34		
29	Matej Machácek	M	M18-24	3	3:54:33	0:28:09	2:02:10	1:20:03
30	Adriaen Van Camp	M	M30-34	2	3:55:13	0:26:42	2:03:19	1:20:21
31	Richard Sumpter	M	M40-44	1	3:55:15	0:27:12	2:03:46	1:19:04
32	Fernando Rodrigues Ricco	M	M35-39	1	3:55:38		2:04:09	1:22:18
33	Stefan Reschwamm	M	M30-34	3	3:55:52	0:25:39	2:05:31	1:20:01
34	Valentin Bailleux	M	M25-29	2	3:55:53		2:04:11	1:17:11
35	Lukasz Lis	M	MPRO	25	3:56:02		2:02:25	1:24:22
36	Mohamad Alsabbagh	M	MPRO	26	3:56:55	0:24:34	2:02:55	1:25:17
37	Jasper Van Der Velde	M	M35-39	2	3:57:25	0:28:33	2:00:39	1:22:58
38	Max Hoffmann	M	M25-29	3	3:57:48	0:26:06	2:05:00	1:21:27
39	Daniel Nöu	M	MPRO	27	3:58:07	0:24:33	2:03:00	1:26:22
40	Igor Zalewski	M	M30-34	4	3:58:46	0:27:23	2:04:03	1:22:07
41	Maciej Skórnicki	M	M25-29	4	3:59:27	0:26:42	2:04:16	1:23:25
42	Andrzej Michalski	M	M35-39	3	3:59:42		2:03:00	1:22:45
43	Riccardo Dossi	M	M30-34	5	3:59:46	0:27:50	2:05:27	1:20:34
44	Przemyslaw Gaj	M	M25-29	5	4:00:02	0:27:31	2:05:13	1:22:08
45	Ronald Lehmann	M	M30-34	6	4:00:21	0:32:01	2:03:40	1:18:55
46	Nikitas Kallitsis	M	M18-24	4	4:00:34	0:29:10		1:22:30
47	Lukasz Biernacki	M	M35-39	4	4:00:42	0:28:35	2:02:56	1:24:21
48	Konrad Imianowski	M	M25-29	6	4:01:05		2:06:05	1:20:09
49	Frode Jermstad	M	M50-54	1	4:01:32	0:29:08	2:02:20	
50	Tadas Lukauskis	M	M18-24	5	4:01:35		2:04:14	1:23:23
51	Rob Nijmeijer	M	M30-34	7	4:01:54		2:04:42	1:26:10
52	Oliver Koch	M	M30-34	8	4:02:00			1:22:17
53	Pawel Mlodzikowski	M	M35-39	5	4:02:09	0:28:43	2:01:37	1:27:09
54	Paolo Pechel	M	M25-29	7	4:02:29	0:29:29	2:01:28	1:25:41
55	Zsolt Szollár	M	M30-34	9	4:02:42	0:29:22	2:04:04	1:23:41
56	James Irvine	M	M30-34	10	4:02:57	0:27:44	2:06:30	
57	Ruurd-Jan Zwarts	M	M40-44	2	4:03:12	0:31:40	2:02:24	1:23:37
58	Lukasz Jeglinski	M	M35-39	6	4:03:19	0:29:55	2:02:29	1:25:27
59	Andrew Isaac	F	M30-34	11	4:03:23	0:25:03	2:05:27	1:27:15
60	Kamil Duplicki	M	M40-44	3	4:03:24	0:30:20	2:01:40	1:27:14
61	Dag Störmer	M	M45-49	1	4:03:27	0:27:52	2:02:41	1:26:04
62	Mateusz Zawadzki	M	M30-34	12	4:03:30	0:28:18	2:05:19	1:24:02
63	Jakub Lewandowski	M	M25-29	8	4:04:00		2:06:54	1:24:52
64	Oliver Bridge	M	M35-39	7	4:04:58		2:10:39	1:20:52
65	Thiago Nascimento	M	M40-44	4	4:05:02	0:28:37	2:02:57	1:27:08
66	Patrik Glaser	M	MPRO	28	4:05:20	0:29:13	2:07:12	1:24:17
67	David Scheffer	M	M30-34	13	4:05:33		2:02:03	1:30:28
68	Fernando Zabala	M	M35-39	8	4:05:34	0:27:21	2:04:14	1:28:06
69	Andreas Agathocleous	M	M35-39	9	4:05:41	0:28:41	2:10:09	1:22:02
70	Michal Liberadzki	M	M30-34	14	4:05:43	0:26:31	2:06:13	1:28:09
71	Dawid Czechowski	M	M18-24	6	4:06:02	0:26:44	2:08:53	1:23:54
72	Maciej Król	M	M30-34	15	4:06:10	0:29:02	2:03:18	1:28:53
73	Wojciech Biolik	M	M35-39	10	4:06:32	0:31:03	2:04:47	1:26:40
74	Tom Western	M	M30-34	16	4:06:41	0:30:37	2:09:48	1:19:58
75	Marcin Chojnacki	M	M50-54	2	4:06:57	0:30:54	2:01:33	1:29:43
76	Alex Rodriguez Pares	M	M25-29	9	4:07:05	0:27:35		1:23:15
77	Jakub Jaroš	M	M40-44	5	4:07:35	0:28:51	2:03:34	1:28:39
78	Tomasz Bednarczyk	M	M35-39	11	4:07:53	0:30:34	2:02:53	1:29:04
79	Alan Blakie	M	M40-44	6	4:07:56		2:04:10	1:27:04
80	George Rofe	M	M18-24	7	4:08:00	0:29:02		1:27:57
81	Marcus Westphal	M	M18-24	8	4:08:07	0:28:19	2:04:47	1:29:45
82	Przemyslaw Szuder	M	M45-49	2	4:08:09	0:29:27	2:03:08	1:30:54
83	Rachel Brown	F	FPRO	1	4:08:40	0:29:35	2:09:44	1:24:59
84	Cihan Asrak	M	M35-39	12	4:08:51		2:08:09	1:25:33
85	Graeme Steele	M	M30-34	17	4:09:11	0:30:12	2:04:32	1:29:48
86	Michael Zolcer	M	M35-39	13	4:09:28	0:29:30	2:04:30	1:31:03
87	Luigi Tedesco	M	M40-44	7	4:09:50	0:31:57	2:06:26	1:25:58
88	Pawel Kalinowski	M	M40-44	8	4:09:53	0:28:29	2:04:14	1:31:55
89	Leonardo Rossi	M	M18-24	9	4:09:53	0:27:43	2:08:18	1:25:48
90	Szymon Daszkiewicz	M	M30-34	18	4:10:02	0:32:30	2:06:59	1:26:04
91	Dawid Dabrowski	M	M25-29	10	4:10:05	0:33:02	2:05:56	1:25:20
92	Rafal Buzun	M	M30-34	19	4:10:20		2:04:21	1:29:41
93	Luisa Iogna Prat	F	FPRO	2	4:10:30			1:24:55
94	Ingmar Daßler	M	M40-44	9	4:11:17		2:03:10	1:30:39
95	Agnieszka Gadomska	F	F25-29	1	4:11:23	0:26:50	2:12:11	1:27:35
96	Benjamin Pertschy	M	M30-34	20	4:11:27	0:26:00	2:01:47	1:36:51
97	Panos Georgiades	M	M35-39	14	4:11:50	0:29:29	2:06:56	1:29:08
98	Sondre Lernes Hansen	M	M30-34	21	4:11:51		2:07:24	1:28:41
99	Michal Piwonski	M	M30-34	22	4:12:00	0:34:24	2:05:20	1:27:19
100	Adrian Tomczak	M	M25-29	11	4:12:03			
101	Pawel Kampa	M	M45-49	3	4:12:15	0:31:53	2:07:32	1:26:54
102	Inaki De La Parra	M	M40-44	10	4:12:19		2:09:22	1:27:27
103	Dziugas Zarauskas	M	M25-29	12	4:13:17	0:29:01	2:14:05	1:24:02
104	Benjamin Vincent	M	M35-39	15	4:13:23		2:05:47	1:31:44
105	Jan Windischmann	M	M25-29	13	4:13:23		2:02:39	1:34:02
106	Annewillem Pranger	M	M35-39	16	4:13:26	0:32:19	2:04:13	1:31:25
107	Vladislav Munteanu	M	M25-29	14	4:13:50			1:32:45
108	Katharina Krüger	F	FPRO	3	4:13:54	0:24:54	2:14:15	1:30:18
109	Tom Garrett	M	M30-34	23	4:14:06		2:05:08	1:34:39
110	Claes Ivenborg	M	M50-54	3	4:14:24		2:10:43	1:26:53
111	Patryk Bielik	M	M35-39	17	4:14:25	0:30:27	2:03:14	1:35:33
112	Risto Pärnapuu	M	M30-34	24	4:14:37	0:30:23	2:09:41	1:29:24
113	Lennie Kristensen	M	M55-59	1	4:14:38	0:36:13	2:05:07	1:26:42
114	Christoph Seydel	M	M30-34	25	4:14:42	0:27:31		1:37:44
115	Marcel Trepte	M	M25-29	15	4:15:01		2:12:05	1:24:13
116	Josef Bonavia	M	M40-44	11	4:15:06	0:31:52	2:09:02	1:28:23
117	Lara Rajteric	F	FPRO	4	4:15:14	0:29:12	2:09:35	1:31:03
118	Antonio Martí Peris	M	M18-24	10	4:15:20	0:30:00	2:13:09	1:26:13
119	Philipp Heinz	M	M35-39	18	4:15:22			1:31:44
120	Ben Jones	M	M35-39	19	4:15:24	0:33:13	2:01:14	1:34:57
121	Tobias Ulrich	M	M45-49	4	4:15:46		2:09:21	1:28:56
122	Pablo Guevara Gil	M	M30-34	26	4:15:47	0:27:08	2:10:15	1:31:53
123	Tom Spencer	M	M30-34	27	4:15:50	0:32:24	2:08:51	1:29:54
124	Souli El Adek	M	M35-39	20	4:15:59	0:31:21	2:08:18	1:30:04
125	Fabio Vaz Fernandes Goncalves	M	M40-44	12	4:16:01	0:32:18	2:07:47	1:27:01
126	Laura Jalasto	F	F45-49	1	4:16:02	0:30:16	2:10:14	1:30:31
127	Frans Van Den Heuvel	M	M40-44	13	4:16:04	0:30:10	2:11:41	1:28:21
128	Krzysztof Godlewski	M	M40-44	14	4:16:08		2:04:46	1:33:19
129	Sebastian Blecke	M	M50-54	4	4:16:10		2:09:23	1:28:09
130	Przemyslaw Olkowski	M	M45-49	5	4:16:15	0:32:00	2:08:17	1:30:58
131	Bartlomiej Polok	M	M25-29	16	4:16:27	0:31:42	2:11:03	1:28:38
132	Philip Stapmanns	M	M25-29	17	4:16:52	0:26:26	2:06:33	1:37:26
133	Ahmed Iraky	M	M45-49	6	4:16:54	0:31:56	2:11:21	1:27:51
134	Aleksei Kuzmin	M	M30-34	28	4:17:00			1:28:21
135	Marek Dobrzycki	M	M45-49	7	4:17:01	0:29:24	2:05:05	1:37:26
136	Michael Monahan	M	M35-39	21	4:17:05	0:27:25		
137	Radoslaw Szatrowski	M	M40-44	15	4:17:08	0:26:45	2:11:31	1:33:38
138	Szymon Iwaszkiewicz	M	M25-29	18	4:17:16	0:29:15	2:10:28	1:32:23
139	Sindre Soerensen	M	M50-54	5	4:17:19	0:34:04	2:07:38	
140	Richard Adam	M	M25-29	19	4:17:29	0:30:40	2:10:46	1:29:30
141	Taavi Rand	M	M25-29	20	4:17:39	0:29:39	2:15:01	1:27:58
142	Mohamed El Akkad	M	M35-39	22	4:17:56	0:27:47	2:11:20	1:33:00
143	Kosma Szostak	M	M35-39	23	4:17:57		2:03:34	1:35:01
144	Evgeny Bakunov	M	M40-44	16	4:18:04		2:14:07	1:22:20
145	Bartosz Dymek	M	M40-44	17	4:18:10	0:30:47	2:10:16	1:32:05
