総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位
1	111	高田 真音	15	男	京都府	0:34:47	0:06:46	1	0:18:18	3	0:25:04	2	0:09:43	3	1	
2	130	福元 テツロー	52	男	広島県	0:35:01	0:06:52	3	0:17:57	1	0:24:49	1	0:10:12	5	2	
3	122	栗山 哲也	35	男	大阪府	0:35:22	0:07:42	6	0:18:04	2	0:25:46	3	0:09:36	2	3	
4	118	南野 陽大	20	男	大阪府	0:37:09	0:07:00	4	0:19:53	6	0:26:53	4	0:10:16	7	4	
5	113	藤田 波凪	16	男	福岡県	0:38:12	0:06:47	2	0:20:32	11	0:27:19	6	0:10:53	11	5	
6	115	金井 悠真	17	男	兵庫県	0:38:42	0:07:10	5	0:20:06	7	0:27:16	5	0:11:26	13	6	
7	161	坂口 愛紗	16	女	京都府	0:38:47	0:07:47	7	0:20:06	8	0:27:53	7	0:10:54	12		1
8	119	中谷 啓太朗	20	男	学連	0:40:25	0:11:21	13	0:18:21	4	0:29:42	8	0:10:43	9	7	
9	125	竹内 俊之	43	男	大阪府	0:40:36	0:10:50	10	0:20:28	10	0:31:18	11	0:09:18	1	8	
10	114	有田 駈	16	男	大阪府	0:41:43	0:09:45	9	0:21:25	13	0:31:10	10	0:10:33	8	9	
11	139	金田 匠	23	男	京都府	0:44:36	0:13:25	18	0:19:01	5	0:32:26	13	0:12:10	15	10	
12	116	中神 賢治	19	男	学連	0:44:44	0:13:37	21	0:21:09	12	0:34:46	14	0:09:58	4	11	
13	120	林 智信	20	男	学連	0:45:12	0:08:13	8	0:24:07	17	0:32:20	12	0:12:52	16	12	
14	162	田中 凜	19	女	学連	0:45:21	0:12:59	17	0:22:09	14	0:35:08	15	0:10:13	6		2
15	112	秋山 志々大	16	男	京都府	0:46:22	0:10:56	12	0:20:11	9	0:31:07	9	0:15:15	22	13	
16	123	足立 悠介	39	男	京都府	0:49:21	0:10:54	11	0:26:37	19	0:37:31	18	0:11:50	14	14	
17	121	日下 和哉	23	男	滋賀県	0:50:04	0:12:10	14	0:23:44	16	0:35:54	16	0:14:10	20	15	
18	137	川崎 潔	71	男	大阪府	0:52:37	0:12:12	15	0:27:28	21	0:39:40	19	0:12:57	17	16	
19	127	吉田 伸司	47	男	京都府	0:53:39	0:13:52	22	0:25:58	18	0:39:50	20	0:13:49	19	17	
20	136	古井 佳雄	65	男	愛知県	0:57:15	0:13:36	20	0:23:41	15	0:37:17	17	0:19:58	29	18	
21	128	西野 倫弘	48	男	福井県	0:58:05	0:12:54	16	0:28:34	22	0:41:28	22	0:16:37	24	19	
TOV	134	松木 俊文	58	男	大阪府	0:58:34	0:15:03	27	0:28:35	23	0:43:38	23	0:14:56	21		
TOV	131	目木 誠治	52	男	石川県	1:00:28	0:14:39	26	0:26:43	20	0:41:22	21	0:19:06	26		
TOV	129	平原 直樹	50	男	京都府	1:01:04	0:14:32	24	0:31:01	24	0:45:33	25	0:15:31	23		
TOV	126	高野 善明	45	男	神奈川県	1:02:42	0:15:38	29	0:33:20	28	0:48:58	28	0:13:44	18		
TOV	163	松木 敦子	56	女	大阪府	1:04:31	0:14:37	25	0:31:33	27	0:46:10	26	0:18:21	25		
TOV	117	中 太輝	19	男	学連	1:04:53	0:13:28	19	0:40:34	29	0:54:02	29	0:10:51	10		
TOV	132	長谷川 稔	53	男	京都府	1:05:21	0:14:05	23	0:31:14	25	0:45:19	24	0:20:02	30		
TOV	133	金津 謙一	57	男	愛知県	1:06:47	0:16:07	30	0:31:25	26	0:47:32	27	0:19:15	27		
TOV	124	山本 知聖	40	男	大阪府	1:30:59	0:15:34	28	0:55:38	30	1:11:12	30	0:19:47	28		
DNF	164	永治 眞弓	62	女	京都府											
DNS	135	根尾 尚志	62	男	福井県											
DNS	138	和田 耕二	75	男	奈良県											
