順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
OPEN	2002	酒井 絵美	2:40:28	0:31:15		1:21:09		1:52:24		0:48:04		OPEN
1	506	谷村 佳子	2:51:30	0:28:53	54	1:32:17	90	2:01:10	73	0:50:20	29	48
2	525	鈴木 佐梨	3:00:37	0:33:21	124	1:33:19	98	2:06:40	110	0:53:57	50	82
3	523	柏木 千景	3:02:17	0:36:02	161	1:27:18	57	2:03:20	86	0:58:57	87	86
4	502	新井 磨里子	3:03:02	0:28:53	55	1:27:47	60	1:56:40	52	1:06:22	148	88
5	504	櫻井 唯	3:03:17	0:24:40	12	1:34:02	107	1:58:42	64	1:04:35	139	90
6	511	山本 真紀恵	3:05:56	0:31:30	95	1:35:09	117	2:06:39	109	0:59:17	97	94
7	508	フィンドレー 由香	3:06:21	0:29:57	70	1:36:39	126	2:06:36	107	0:59:45	100	95
8	509	岡村 安里	3:06:59	0:23:43	7	1:40:57	152	2:04:40	96	1:02:19	116	98
9	510	マッカーシー アンドレア	3:07:44	0:31:49	99	1:34:29	110	2:06:18	106	1:01:26	108	102
10	515	安藤 有希	3:11:30	0:34:44	139	1:39:15	142	2:13:59	148	0:57:31	73	115
11	514	磯田 きえ	3:15:51	0:31:38	98	1:39:51	145	2:11:29	138	1:04:22	138	131
12	521	佐野 智恵子	3:16:38	0:34:59	146	1:42:28	161	2:17:27	161	0:59:11	95	136
13	517	近藤 美佐緒	3:18:37	0:35:36	157	1:43:27	165	2:19:03	167	0:59:34	99	140
14	501	五十嵐 咲季	3:19:26	0:23:30	6	1:38:08	134	2:01:38	76	1:17:48	195	141
15	503	佐藤 佳乃	3:22:00	0:26:38	31	1:45:20	182	2:11:58	142	1:10:02	171	150
16	516	藤田 光	3:31:22	0:30:22	74	1:44:25	174	2:14:47	150	1:16:35	194	175
17	505	中野 幸子	3:31:52	0:28:49	53	1:58:59	205	2:27:48	193	1:04:04	131	176
18	512	関根 美樹	3:41:35	0:30:40	79	1:52:57	194	2:23:37	182	1:17:58	197	188
19	526	宮下 礼子	3:44:22	0:38:34	192	1:51:15	191	2:29:49	199	1:14:33	187	192
20	524	赤堀 美希	3:48:59	0:37:52	185	2:00:44	206	2:38:36	208	1:10:23	172	200
21	522	竹内 裕子	4:12:53	0:35:32	156	2:09:54	213	2:45:26	216	1:27:27	210	207
22	520	高澤 絵美子	4:12:58	0:33:57	129	2:10:23	214	2:44:20	214	1:28:38	211	208
DNF	507	永宮 友子	3:05:25	0:28:54	56							DNF
DNF	527	吉田 典子		0:46:06	216	1:58:24	204	2:44:30	215			DNF
