順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
1	3	立山 宏一	2:15:15	0:21:41	3	1:10:49	1	1:32:30	1	0:42:45	2	1
2	32	渡邉 達樹	2:19:38	0:26:00	22	1:12:11	3	1:38:11	2	0:41:27	1	2
3	39	武田 隼人	2:25:51	0:26:28	26	1:13:09	4	1:39:37	4	0:46:14	4	3
4	59	神谷 嵩史	2:27:41	0:28:44	52	1:10:51	2	1:39:35	3	0:48:06	13	4
5	10	上瀧 豊	2:28:32	0:25:38	17	1:16:28	8	1:42:06	9	0:46:26	6	5
6	13	林 仁志	2:29:08	0:24:22	10	1:17:00	9	1:41:22	8	0:47:46	11	6
7	19	橋本 力輝	2:29:35	0:20:00	1	1:20:16	20	1:40:16	5	0:49:19	23	7
8	42	木内 悠斗	2:31:13	0:26:54	32	1:14:12	6	1:41:06	7	0:50:07	27	8
9	5	ABSOUS OLIVIER	2:32:03	0:24:14	8	1:21:34	25	1:45:48	14	0:46:15	5	9
10	6	鬼澤 秀和	2:32:15	0:26:55	33	1:14:04	5	1:40:59	6	0:51:16	35	10
11	91	茂田 萌次郎	2:32:47	0:25:54	21	1:17:43	13	1:43:37	11	0:49:10	21	11
12	51	伊藤 秀輔	2:32:50	0:29:09	63	1:14:52	7	1:44:01	12	0:48:49	19	12
13	9	平澤 健市	2:34:33	0:25:48	19	1:21:19	23	1:47:07	21	0:47:26	7	13
14	117	山下 徹	2:34:44	0:29:02	61	1:17:06	10	1:46:08	15	0:48:36	16	14
15	30	篠塚 恭男	2:35:11	0:25:25	15	1:17:18	11	1:42:43	10	0:52:28	40	15
16	8	森山 岳	2:35:19	0:27:44	44	1:18:29	15	1:46:13	16	0:49:06	20	16
17	7	小林 隼人	2:35:26	0:22:59	4	1:26:20	54	1:49:19	25	0:46:07	3	17
18	56	山本 慈朗	2:36:15	0:29:07	62	1:18:27	14	1:47:34	22	0:48:41	17	18
19	38	屋代 卓億	2:36:37	0:29:16	64	1:17:39	12	1:46:55	20	0:49:42	25	19
20	14	海老原 武	2:37:40	0:25:16	14	1:22:47	33	1:48:03	24	0:49:37	24	20
21	47	小池 大樹	2:37:47	0:28:06	48	1:21:25	24	1:49:31	28	0:48:16	14	21
22	18	瀬古 尚彦	2:38:38	0:27:28	40	1:22:23	31	1:49:51	31	0:48:47	18	22
23	4	清水 賢	2:38:53	0:23:09	5	1:23:34	38	1:46:43	18	0:52:10	39	23
24	145	橋本 延彦	2:39:47	0:31:51	101	1:20:11	19	1:52:02	36	0:47:45	10	24
25	37	高橋 克昭	2:40:06	0:27:28	39	1:19:24	17	1:46:52	19	0:53:14	45	25
OPEN	2001	佐藤 健太郎	2:40:11	0:21:37		1:20:09		1:41:46		0:58:25		OPEN
26	24	多度津 芳夫	2:43:08	0:25:41	18	1:20:48	22	1:46:29	17	0:56:39	63	26
27	43	佐藤 浩二	2:44:19	0:26:36	29	1:18:41	16	1:45:17	13	0:59:02	89	27
28	36	篠原 奎梧	2:44:27	0:28:58	60	1:20:33	21	1:49:31	27	0:54:56	52	28
29	17	小林 正徳	2:44:29	0:24:35	11	1:23:12	37	1:47:47	23	0:56:42	65	29
30	27	吉田 典夫	2:44:59	0:29:47	69	1:24:35	43	1:54:22	42	0:50:37	31	30
31	106	神山 友宏	2:45:39	0:27:33	42	1:22:02	29	1:49:35	30	0:56:04	57	31
32	2	小柴 有	2:46:48	0:25:34	16	1:23:50	40	1:49:24	26	0:57:24	70	32
33	33	木村 響	2:47:06	0:28:54	58	1:21:40	27	1:50:34	34	0:56:32	61	33
34	60	豊田 翔大	2:47:30	0:28:04	47	1:22:25	32	1:50:29	33	0:57:01	67	34
35	83	木代 雅彦	2:47:54	0:32:43	114	1:23:04	35	1:55:47	47	0:52:07	38	35
36	77	佐藤 公久	2:48:59	0:27:42	43	1:27:48	61	1:55:30	46	0:53:29	47	36
37	146	佐藤 寛	2:49:00	0:35:41	158	1:21:35	26	1:57:16	52	0:51:44	37	37
38	114	石田 明寛	2:49:24	0:32:37	110	1:23:47	39	1:56:24	48	0:53:00	43	38
39	25	野中 剛志	2:49:30	0:25:50	20	1:24:21	42	1:50:11	32	0:59:19	97	39
