総合順位	No.	氏名	居住地	性別	年齢区分	Swimラップ	バイクラップ	ランラップ	合計タイム	年代別順位
1	403	川上 直紀 中野 健一郎 野村 翼				0:25:37	1:09:23	0:38:35	2:13:36	1
3	408	細川 政浩 小⽟ 聖理菜 佐藤 奈緒				0:25:18	1:12:51	0:41:33	2:19:43	2
4	402	横道 慶典 畳 典秀 森本 直樹				0:25:39	1:17:46	0:42:01	2:25:27	3
5	404	濱本 瑛羅 川上 健吾 坂本 大志				0:25:32	1:24:24	0:35:40	2:25:38	4
2	407	北村 凱平 加藤 真一 池森 夢子				0:27:48	1:11:10	0:54:10	2:33:09	5
6	406	今城 裕匡 安江 美佐子 丸田 慶彦				0:38:47	1:31:45	0:45:13	2:55:46	6
7	405	山田 健太 綾 貴穂 井上 裕将				0:40:16	1:33:12	0:42:17	2:55:46	7
8	401	山根 円 山根 義雄 山根 愛子				0:36:56	1:49:36	1:02:26	3:28:59	8
1	1	福元 哲郎	広島			0:23:00	1:07:57	0:38:28	2:09:27	1
6	10	山崎 晋平	神奈川	男	30未満	0:22:54	1:11:07	0:43:05	2:17:06	1
9	5	西川 祐希	東京	男	30未満	0:30:20	1:11:59	0:41:06	2:23:26	2
25	3	西村 凌	山口	男	30未満	0:32:35	1:15:47	0:39:15	2:27:38	3
42	16	高山正 健太	広島	男	30未満	0:30:50	1:17:24	0:39:46	2:28:01	4
85	9	⾓ 達也	広島	男	30未満	0:26:06	1:22:51	0:44:35	2:33:33	5
54	14	本岡 拓憲	広島	男	30未満	0:32:44	1:19:06	0:44:37	2:36:29	6
43	15	入江 建州	広島	男	30未満	0:33:51	1:17:27	0:45:18	2:36:36	7
81	13	田中 健光	神奈川	男	30未満	0:30:15	1:22:36	0:44:56	2:37:48	8
37	20	川口 諄	広島	男	30未満	0:25:39	1:16:44	0:55:49	2:38:13	9
102	8	奥山 惇	千葉	男	30未満	0:30:16	1:25:30	0:48:56	2:44:43	10
87	17	西山 紀章	広島	男	30未満	0:36:29	1:23:03	0:50:48	2:50:21	11
86	19	湯浅 健	広島	男	30未満	0:42:40	1:22:55	0:45:54	2:51:30	12
69	4	中山 蒼	福岡	男	30未満	0:38:51	1:20:47	0:57:25	2:57:05	13
33	7	鳴川 善友	岡山	男	30未満	0:50:04	1:16:24	0:54:57	3:01:25	14
169	12	篠崎 誠則	広島	男	30未満	0:30:28	1:37:01	1:20:08	3:27:38	15
130	6	戸田 克⺒	広島	男	30未満	0:41:40	1:30:05	1:16:01	3:27:47	16
161	11	秋間 淳	広島	男	30未満	0:49:33	1:36:05	1:06:13	3:31:52	17
2	52	山田 健作	岡山	男	30代	0:25:22	1:07:58	0:38:23	2:11:44	1
3	76	浜本 正明	広島	男	30代	0:25:58	1:08:59	0:38:31	2:13:29	2
5	74	茶屋 孝三	広島	男	30代	0:28:49	1:11:00	0:39:26	2:19:15	3
7	83	佐藤 哲朗	広島	男	30代	0:25:39	1:11:45	0:41:55	2:19:20	4
21	50	⻲岡 貴史	愛媛	男	30代	0:23:04	1:14:57	0:42:25	2:20:26	5
19	80	広本 成志	山口	男	30代	0:27:20	1:14:43	0:40:19	2:22:24	6
8	32	松崎 周平	山口	男	30代	0:26:05	1:11:45	0:45:34	2:23:25	7
