総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイク	B順	スプリット	通過	ランラップ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
46	9191	井上 愼介	48	男	埼玉	1:26:11	0:15:05	38	0:46:26	84	1:01:31	54	0:24:40	30	45		40代男子	19
47	9094	勝田 鉄心	40	男	神奈川	1:27:04	0:16:35	66	0:43:41	51	1:00:16	46	0:26:48	69	46		40代男子	20
48	9010	田村 亮太	26	男	千葉	1:27:18	0:12:19	5	0:46:45	91	0:59:04	39	0:28:14	98	47		20代男子	3
49	9152	坂本 俊一郎	45	男	東京	1:27:18	0:19:08	117	0:43:24	47	1:02:32	61	0:24:46	33	48		40代男子	21
50	9109	宮井 岳志	41	男	神奈川	1:27:20	0:19:18	124	0:43:44	52	1:03:02	69	0:24:18	26	49		40代男子	22
51	9085	富岡 聡文	38	男	神奈川	1:27:36	0:14:19	23	0:47:01	96	1:01:20	52	0:26:16	58	50		30代男子	17
52	9153	重川 達治	45	男	東京	1:27:44	0:17:49	89	0:42:51	43	1:00:40	48	0:27:04	73	51		40代男子	23
53	9169	土屋 博	46	男	埼玉	1:27:58	0:15:58	51	0:44:45	59	1:00:43	50	0:27:15	80	52		40代男子	24
54	9167	杉山 俊昭	46	男	神奈川	1:28:18	0:18:48	104	0:42:23	40	1:01:11	51	0:27:07	76	53		40代男子	25
55	9016	小丸 尭	28	男	神奈川	1:28:22	0:16:14	59	0:46:21	81	1:02:35	62	0:25:47	47	54		20代男子	4
56	9142	中川 隆志	44	男	東京	1:28:24	0:14:55	34	0:44:07	56	0:59:02	38	0:29:22	118	55		40代男子	26
57	9215	山崎 尚	50	男	東京	1:28:32	0:16:25	63	0:45:56	73	1:02:21	59	0:26:11	55	56		50代男子	5
58	9147	松本 恒一	44	男	埼玉	1:28:45	0:15:44	48	0:46:45	92	1:02:29	60	0:26:16	57	57		40代男子	27
59	9005	宮武 周平	21	男	東京	1:28:51	0:15:38	46	0:48:07	113	1:03:45	80	0:25:06	40	58		20代男子	5
60	9122	堀江 康彦	42	男	神奈川	1:29:08	0:22:35	220	0:40:09	18	1:02:44	64	0:26:24	62	59		40代男子	28
61	9155	末永 修	45	男	茨城	1:29:10	0:21:54	205	0:43:34	48	1:05:28	97	0:23:42	19	60		40代男子	29
62	9131	高橋 雄志	43	男	東京	1:29:15	0:16:14	60	0:48:39	124	1:04:53	92	0:24:22	28	61		40代男子	30
63	9047	富澤 裕敏	32	男	群馬	1:29:26	0:17:34	85	0:46:17	78	1:03:51	82	0:25:35	46	62		30代男子	18
64	9076	池田 薫	37	男	神奈川	1:29:37	0:13:44	13	0:46:15	76	0:59:59	44	0:29:38	124	63		30代男子	19
65	9018	水柿 康一	28	男	神奈川	1:29:44	0:22:22	215	0:41:14	30	1:03:36	77	0:26:08	51	64		20代男子	6
66	1024	上田 珠江	42	女	東京	1:30:03	0:14:48	33	0:48:03	110	1:02:51	66	0:27:12	78		2	40代女子	1
67	9188	村上 啓二	47	男	東京	1:30:13	0:16:59	72	0:45:53	71	1:02:52	67	0:27:21	81	65		40代男子	31
68	1022	三浦 亮子	40	女	神奈川	1:30:24	0:15:00	37	0:45:34	66	1:00:34	47	0:29:50	127		3	40代女子	2
69	9064	伊賀 将之	35	男	茨城	1:30:36	0:20:00	145	0:45:41	67	1:05:41	100	0:24:55	36	66		30代男子	20
70	9022	清水 貴光	29	男	東京	1:30:50	0:18:03	96	0:46:16	77	1:04:19	85	0:26:31	66	67		20代男子	7
71	9242	伏木 豊	56	男	東京	1:31:07	0:19:04	114	0:45:44	69	1:04:48	90	0:26:19	61	68		50代男子	6
72	1019	湯浅 佳子	39	女	神奈川	1:31:07	0:14:15	20	0:47:43	107	1:01:58	57	0:29:09	115		4	30代女子	2
73	9129	鈴木 達也	43	男	神奈川	1:31:19	0:19:19	125	0:45:52	70	1:05:11	95	0:26:08	50	69		40代男子	32
74	9208	小林 聡	50	男	東京	1:31:20	0:21:08	187	0:45:28	65	1:06:36	112	0:24:44	31	70		50代男子	7
75	1033	脇 真由美	44	女	神奈川	1:31:46	0:13:17	9	0:48:13	115	1:01:30	53	0:30:16	140		5	40代女子	3
76	9045	武田 敏典	32	男	東京	1:31:54	0:19:15	121	0:44:27	58	1:03:42	78	0:28:12	96	71		30代男子	21
77	9015	菊池 航	28	男	東京	1:31:55	0:19:46	138	0:44:05	55	1:03:51	81	0:28:04	91	72		20代男子	8
78	9187	松本 克之	47	男	神奈川	1:31:56	0:16:05	56	0:47:39	105	1:03:44	79	0:28:12	95	73		40代男子	33
79	9202	西村 昭俊	49	男	東京	1:31:56	0:19:04	113	0:44:09	57	1:03:13	71	0:28:43	107	74		40代男子	34
80	9054	草場 健太郎	33	男	茨城	1:31:57	0:15:31	45	0:48:40	125	1:04:11	84	0:27:46	86	75		30代男子	22
81	1012	谷津 麻耶	34	女	神奈川	1:31:57	0:15:15	40	0:47:35	104	1:02:50	65	0:29:07	114		6	30代女子	3
82	9006	福本 大悟	23	男	東京	1:31:59	0:18:34	101	0:48:25	119	1:06:59	114	0:25:00	38	76		20代男子	9
83	1002	小暮 千晴	26	女	神奈川	1:32:15	0:14:35	30	0:48:37	123	1:03:12	70	0:29:03	113		7	20代女子	1
84	9072	塚越 誠士	36	男	神奈川	1:32:50	0:19:37	134	0:46:07	74	1:05:44	101	0:27:06	75	77		30代男子	23
85	9241	小高 勝	55	男	東京	1:32:50	0:19:13	119	0:45:26	64	1:04:39	89	0:28:11	94	78		50代男子	8
86	9078	清野 幸介	37	男	神奈川	1:32:53	0:15:20	42	0:48:14	116	1:03:34	75	0:29:19	116	79		30代男子	24
87	9062	白井 克哉	34	男	神奈川	1:33:01	0:19:05	116	0:43:34	49	1:02:39	63	0:30:22	145	80		30代男子	25
88	9066	後藤 健二	35	男	神奈川	1:33:07	0:19:02	110	0:43:55	53	1:02:57	68	0:30:10	136	81		30代男子	26
89	9141	風間 日左男	44	男	神奈川	1:33:16	0:17:52	92	0:46:34	87	1:04:26	86	0:28:50	109	82		40代男子	35
90	1035	山下 雅子	45	女	静岡	1:33:51	0:14:00	17	0:48:05	112	1:02:05	58	0:31:46	164		8	40代女子	4
91	9121	服部 徳晃	42	男	静岡	1:34:02	0:19:17	122	0:44:52	60	1:04:09	83	0:29:53	129	83		40代男子	36
92	9246	柳沢 明彦	57	男	東京	1:34:02	0:19:05	115	0:46:23	82	1:05:28	98	0:28:34	104	84		50代男子	9
93	9189	山本 統久	47	男	静岡	1:34:14	0:21:05	185	0:43:34	50	1:04:39	88	0:29:35	123	85		40代男子	37
94	9093	関 昌之	39	男	東京	1:34:16	0:19:43	136	0:46:51	93	1:06:34	111	0:27:42	85	86		30代男子	27
95	9216	奥澤 公明	51	男	千葉	1:34:22	0:19:50	142	0:48:19	118	1:08:09	124	0:26:13	56	87		50代男子	10
96	9210	小安永 一典	50	男	東京	1:34:42	0:16:21	62	0:47:01	97	1:03:22	73	0:31:20	156	88		50代男子	11
97	9086	西村 將生	38	男	神奈川	1:34:44	0:18:19	98	0:46:52	94	1:05:11	94	0:29:33	122	89		30代男子	28
98	9251	青木 久夫	60	男	神奈川	1:34:45	0:18:58	109	0:50:16	149	1:09:14	137	0:25:31	43	90		60代男子	1
99	9205	井上 博之	50	男	神奈川	1:34:48	0:19:38	135	0:45:19	63	1:04:57	93	0:29:51	128	91		50代男子	12
100	9059	池松 龍介	34	男	千葉	1:35:24	0:15:16	41	0:53:42	195	1:08:58	132	0:26:26	63	92		30代男子	29
101	9031	森井 泰弘	30	男	東京	1:35:25	0:20:36	166	0:49:17	132	1:09:53	149	0:25:32	44	93		30代男子	30
102	1048	鈴木 智子	31	女	神奈川	1:35:26	0:17:35	86	0:50:40	157	1:08:15	125	0:27:11	77		9	30代女子	4
103	9143	西山 明輝	44	男	神奈川	1:35:34	0:21:46	201	0:46:18	79	1:08:04	122	0:27:30	83	94		40代男子	38
104	9172	松下 隆一	46	男	東京	1:35:38	0:16:27	65	0:49:47	141	1:06:14	106	0:29:24	119	95		40代男子	39
105	9168	髙橋 秀行	46	男	神奈川	1:35:40	0:17:04	74	0:48:34	122	1:05:38	99	0:30:02	134	96		40代男子	40
106	9097	高野 英祐	40	男	埼玉	1:35:41	0:17:01	73	0:46:20	80	1:03:21	72	0:32:20	173	97		40代男子	41
107	9011	仁木 良祐	26	男	東京	1:36:26	0:23:10	226	0:46:37	89	1:09:47	146	0:26:39	67	98		20代男子	10
108	1032	星野 久子	44	女	東京	1:36:38	0:17:49	90	0:48:28	120	1:06:17	107	0:30:21	144		10	40代女子	5
109	9026	江島 真也	30	男	千葉	1:36:42	0:21:22	194	0:45:54	72	1:07:16	115	0:29:26	121	99		30代男子	31
110	9254	大森 俊介	61	男	東京	1:36:44	0:19:34	131	0:46:31	86	1:06:05	105	0:30:39	150	100		60代男子	2
111	9194	登坂 稔	48	男	東京	1:36:49	0:21:52	203	0:46:24	83	1:08:16	126	0:28:33	103	101		40代男子	42
112	9082	三神 信太郎	37	男	東京	1:37:07	0:16:56	71	0:46:39	90	1:03:35	76	0:33:32	184	102		30代男子	32
113	9108	藤田 悟	41	男	神奈川	1:37:10	0:16:18	61	0:50:40	156	1:06:58	113	0:30:12	137	103		40代男子	43
114	9058	古川 大祐	33	男	東京	1:37:18	0:19:31	130	0:50:13	147	1:09:44	145	0:27:34	84	104		30代男子	33
115	9260	川村 隆一	62	男	神奈川	1:37:25	0:20:52	175	0:48:30	121	1:09:22	140	0:28:03	90	105		60代男子	3
116	9185	堀口 拓夫	47	男	千葉	1:37:25	0:19:03	112	0:49:28	136	1:08:31	128	0:28:54	111	106		40代男子	44
117	9092	末長 学	39	男	東京	1:37:29	0:20:04	149	0:47:27	102	1:07:31	117	0:29:58	130	107		30代男子	34
118	9259	川原田 智	62	男	神奈川	1:37:39	0:18:51	105	0:50:33	155	1:09:24	141	0:28:15	99	108		60代男子	4
119	9103	渡辺 征俊	40	男	東京	1:37:53	0:20:50	174	0:48:08	114	1:08:58	133	0:28:55	112	109		40代男子	45
120	9038	丹沢 茂樹	31	男	東京	1:38:00	0:19:46	140	0:48:16	117	1:08:02	120	0:29:58	131	110		30代男子	35
121	9234	平野 博文	53	男	東京	1:38:01	0:19:37	133	0:50:21	151	1:09:58	150	0:28:03	89	111		50代男子	13
122	9056	橋本 督二郎	33	男	千葉	1:38:03	0:20:17	157	0:50:20	150	1:10:37	154	0:27:26	82	112		30代男子	36
123	9256	滝沢 伸	61	男	栃木	1:38:10	0:20:15	154	0:49:35	139	1:09:50	147	0:28:20	100	113		60代男子	5
124	9073	寺戸 陽洋	36	男	神奈川	1:38:21	0:19:18	123	0:48:01	109	1:07:19	116	0:31:02	154	114		30代男子	37
125	9257	野口 耕司郎	61	男	東京	1:38:25	0:16:02	55	0:47:27	103	1:03:29	74	0:34:56	200	115		60代男子	6
126	9197	石原 学	49	男	東京	1:38:45	0:15:51	50	0:52:18	182	1:08:09	123	0:30:36	149	116		40代男子	46
127	9214	山内 達也	50	男	神奈川	1:38:45	0:19:09	118	0:51:09	168	1:10:18	152	0:28:27	101	117		50代男子	14
128	9180	黒川 透	47	男	神奈川	1:38:48	0:17:17	81	0:49:03	129	1:06:20	108	0:32:28	174	118		40代男子	47
129	1010	赤川 満子	34	女	神奈川	1:38:49	0:20:30	162	0:51:07	167	1:11:37	169	0:27:12	79		11	30代女子	5
130	9247	内田 貴之	58	男	神奈川	1:38:54	0:20:11	151	0:49:01	128	1:09:12	136	0:29:42	125	119		50代男子	15
131	9098	宮崎 進	40	男	神奈川	1:39:10	0:21:25	196	0:47:27	101	1:08:52	131	0:30:18	142	120		40代男子	48
132	9249	武藤 治雄	58	男	東京	1:39:30	0:18:51	106	0:45:44	68	1:04:35	87	0:34:55	199	121		50代男子	16
133	9041	岩井 竜彦	32	男	茨城	1:39:34	0:20:32	164	0:49:19	133	1:09:51	148	0:29:43	126	122		30代男子	38
134	9020	内田 桂太	29	男	神奈川	1:39:36	0:17:46	88	0:48:04	111	1:05:50	103	0:33:46	187	123		20代男子	11
135	9112	江藤 競	42	男	神奈川	1:39:53	0:15:30	44	0:50:15	148	1:05:45	102	0:34:08	191	124		40代男子	49
136	9196	山下 秀幸	48	男	神奈川	1:39:55	0:17:30	83	0:50:07	145	1:07:37	118	0:32:18	172	125		40代男子	50
137	9244	竹本 佳正	57	男	神奈川	1:40:03	0:23:42	232	0:47:01	95	1:10:43	156	0:29:20	117	126		50代男子	17
138	9027	小林 善滋	30	男	神奈川	1:40:09	0:18:09	97	0:47:08	98	1:05:17	96	0:34:52	197	127		30代男子	39
139	9162	木次 治彦	46	男	千葉	1:40:11	0:22:28	218	0:50:51	162	1:13:19	182	0:26:52	71	128		40代男子	51
140	9139	大橋 賛誠	44	男	神奈川	1:40:46	0:14:58	35	0:51:24	173	1:06:22	109	0:34:24	193	129		40代男子	52
141	9133	三宅 広純	43	男	神奈川	1:40:52	0:21:32	198	0:44:52	61	1:06:24	110	0:34:28	194	130		40代男子	53
142	9061	小山 雅之	34	男	東京	1:40:54	0:20:46	170	0:47:50	108	1:08:36	129	0:32:18	171	131		30代男子	40
143	1003	荻野 仁美	28	女	埼玉	1:41:03	0:19:29	129	0:49:42	140	1:09:11	135	0:31:52	165		12	20代女子	2
144	9009	合田 武広	26	男	東京	1:41:08	0:23:18	227	0:51:33	175	1:14:51	196	0:26:17	59	132		20代男子	12
145	9182	白石 哲英	47	男	神奈川	1:41:09	0:17:49	91	0:51:47	178	1:09:36	143	0:31:33	162	133		40代男子	54
146	9220	山田 浩司	51	男	東京	1:41:14	0:19:34	132	0:51:39	177	1:11:13	167	0:30:01	133	134		50代男子	18
147	9156	菱倉 直人	45	男	神奈川	1:41:23	0:20:15	155	0:50:04	144	1:10:19	153	0:31:04	155	135		40代男子	55
148	9107	關 友信	41	男	神奈川	1:41:27	0:24:25	235	0:46:36	88	1:11:01	162	0:30:26	146	136		40代男子	56
149	9116	桜井 利宏	42	男	神奈川	1:41:30	0:20:27	159	0:50:45	158	1:11:12	165	0:30:18	141	137		40代男子	57
150	9128	佐藤 義則	43	男	神奈川	1:41:37	0:20:16	156	0:47:41	106	1:07:57	119	0:33:40	186	138		40代男子	58
151	9063	Simon Mueller	34	男	愛知	1:41:40	0:18:33	100	0:51:06	165	1:09:39	144	0:32:01	167	139		30代男子	41
152	1040	吉岡 憲子	49	女	東京	1:41:44	0:21:14	189	0:51:51	180	1:13:05	181	0:28:39	106		13	40代女子	6
153	9091	三林 悟史	39	男	神奈川	1:41:55	0:24:34	237	0:46:30	85	1:11:04	163	0:30:51	152	140		30代男子	42
154	9012	千葉 幸秀	27	男	神奈川	1:42:00	0:21:32	199	0:50:29	154	1:12:01	175	0:29:59	132	141		20代男子	13
155	1008	生駒 安耶子	33	女	大阪	1:42:06	0:22:40	221	0:51:13	172	1:13:53	188	0:28:13	97		14	30代女子	6
156	9081	藤本 遊	37	男	千葉	1:42:06	0:18:53	108	0:51:48	179	1:10:41	155	0:31:25	159	142		30代男子	43
157	9252	山岸 哲	60	男	東京	1:42:09	0:24:41	239	0:47:09	99	1:11:50	173	0:30:19	143	143		60代男子	7
158	9158	居波 和宏	46	男	神奈川	1:42:14	0:17:32	84	0:51:09	169	1:08:41	130	0:33:33	185	144		40代男子	59
159	9231	幸田 克平	53	男	千葉	1:42:31	0:19:47	141	0:49:23	135	1:09:10	134	0:33:21	182	145		50代男子	19
160	9013	山田 雄太郎	27	男	千葉	1:42:37	0:22:08	210	0:52:32	184	1:14:40	195	0:27:57	88	146		20代男子	14
161	9211	Colin Pierre	50	男	神奈川	1:42:42	0:18:48	103	0:50:47	159	1:09:35	142	0:33:07	179	147		50代男子	20
