総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイク	B順	スプリット	通過	ランラップ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
202	9179	尾上 宜隆	47	男	千葉	1:49:03	0:21:54	204	0:53:04	189	1:14:58	197	0:34:05	190	178		40代男子	72
203	9017	沼田 裕宣	28	男	神奈川	1:49:18	0:20:22	158	0:55:38	213	1:16:00	204	0:33:18	180	179		20代男子	15
204	9218	北澤 正	51	男	神奈川	1:50:09	0:19:20	126	0:54:49	207	1:14:09	191	0:36:00	211	180		50代男子	28
205	9008	小出 修馬	25	男	神奈川	1:50:16	0:19:44	137	0:54:53	209	1:14:37	194	0:35:39	207	181		20代男子	16
206	9250	上諏訪 正士	59	男	東京	1:50:29	0:20:13	153	0:53:57	198	1:14:10	192	0:36:19	216	182		50代男子	29
207	9225	山口 隆二	52	男	茨城	1:50:32	0:22:27	217	0:53:46	196	1:16:13	206	0:34:19	192	183		50代男子	30
208	9157	松本 規男	45	男	神奈川	1:51:11	0:22:23	216	0:53:50	197	1:16:13	205	0:34:58	201	184		40代男子	73
209	9248	富樫 孝幸	58	男	東京	1:51:24	0:21:05	184	0:52:45	186	1:13:50	187	0:37:34	221	185		50代男子	31
210	9114	國分 信宏	42	男	神奈川	1:51:28	0:20:04	148	0:57:27	222	1:17:31	217	0:33:57	189	186		40代男子	74
211	9120	Chen Roy	42	男	東京	1:52:18	0:23:41	231	0:54:06	200	1:17:47	220	0:34:31	195	187		40代男子	75
212	9149	吉田 洋之	44	男	東京	1:52:21	0:19:03	111	1:01:55	233	1:20:58	228	0:31:23	157	188		40代男子	76
213	1018	林 真紀子	39	女	神奈川	1:52:37	0:20:55	178	0:55:48	217	1:16:43	211	0:35:54	208		25	30代女子	10
214	9193	木島 裕太郎	48	男	東京	1:52:37	0:19:46	139	0:53:42	194	1:13:28	183	0:39:09	230	189		40代男子	77
215	9267	永田 喜一郎	74	男	埼玉	1:52:40	0:21:17	191	0:59:25	229	1:20:42	227	0:31:58	166	190		70代男子	1
216	1037	坂爪 洋美	47	女	神奈川	1:52:58	0:20:03	147	0:54:57	210	1:15:00	198	0:37:58	226		26	40代女子	12
217	9181	小林 至	47	男	神奈川	1:53:19	0:22:29	219	0:54:51	208	1:17:20	216	0:35:59	210	191		40代男子	78
218	1030	小相澤 南美江	44	女	神奈川	1:53:56	0:23:03	225	0:53:16	190	1:16:19	209	0:37:37	222		27	40代女子	13
219	9138	荒木 芳友	44	男	東京	1:54:18	0:24:18	234	0:52:18	183	1:16:36	210	0:37:42	223	192		40代男子	79
220	9030	堀 亨輔	30	男	神奈川	1:54:24	0:20:53	176	1:03:26	235	1:24:19	235	0:30:05	135	193		30代男子	51
221	9071	木村 淳	36	男	神奈川	1:54:26	0:20:28	161	0:56:16	219	1:16:44	212	0:37:42	224	194		30代男子	52
222	1021	西村 恵美子	40	女	東京	1:55:08	0:21:28	197	0:55:45	215	1:17:13	214	0:37:55	225		28	40代女子	14
223	1023	石野 恵子	42	女	神奈川	1:56:21	0:20:58	182	0:56:16	220	1:17:14	215	0:39:07	229		29	40代女子	15
224	9084	鈴木 章二	38	男	千葉	1:56:23	0:20:28	160	0:59:41	230	1:20:09	225	0:36:14	214	195		30代男子	53
225	9192	落合 孝之	48	男	東京	1:57:04	0:21:57	206	1:03:42	236	1:25:39	236	0:31:25	160	196		40代男子	80
226	9213	松井 伸一郎	50	男	東京	1:57:07	0:16:36	67	1:01:08	232	1:17:44	218	0:39:23	231	197		50代男子	32
227	9224	矢上 尚宏	52	男	神奈川	1:57:15	0:22:45	222	0:59:12	226	1:21:57	232	0:35:18	206	198		50代男子	33
228	9217	小倉 馨	51	男	神奈川	1:57:21	0:20:30	163	0:55:48	216	1:16:18	208	0:41:03	234	199		50代男子	34
229	9263	永田 勝彦	62	男	神奈川	1:57:44	0:23:40	230	0:55:38	214	1:19:18	224	0:38:26	227	200		60代男子	12
230	1026	ヤング 妙	42	女	東京	1:58:07	0:19:14	120	0:59:13	227	1:18:27	222	0:39:40	232		30	40代女子	16
231	1042	井上 侑子	52	女	兵庫	1:58:17	0:22:46	223	0:58:34	225	1:21:20	229	0:36:57	218		31	50代女子	2
232	9159	西表 信博	46	男	神奈川	1:59:05	0:22:01	207	1:02:10	234	1:24:11	234	0:34:54	198	201		40代男子	81
233	1004	塩田 菜々	28	女	神奈川	1:59:17	0:22:11	211	0:58:11	223	1:20:22	226	0:38:55	228		32	20代女子	4
234	1039	清水 玲	48	女	神奈川	2:00:15	0:24:31	236	0:58:15	224	1:22:46	233	0:37:29	220		33	40代女子	17
235	9229	加藤 正都	53	男	東京	2:00:51	0:15:48	49	0:50:03	143	1:05:51	104	0:55:00	237	202		50代男子	35
236	1034	太田 敦子	45	女	長野	2:04:11	0:22:17	213	0:59:23	228	1:21:40	231	0:42:31	235		34	40代女子	18
237	9268	松山 國男	76	男	神奈川	2:21:26	0:18:37	102	1:12:50	237	1:31:27	237	0:49:59	236	203		70代男子	2
DSQ	1005	宮杉 理紗	28	女	神奈川	1:03:56	0:12:08		0:43:22		0:55:30		0:08:26				20代女子	
DSQ	1028	安藤 美佳	44	女	神奈川	1:14:18	0:15:11		0:49:39		1:04:50		0:09:28				40代女子	
DSQ	9007	降旗 啓	23	男	千葉	1:13:49	0:20:00		0:45:20		1:05:20		0:08:29				20代男子	
DNF	1007	和田 智未	32	女	神奈川		0:12:07	3									30代女子	
DNF	9150	大内 龍平	45	男	神奈川		0:13:40	10									40代男子	
DNF	1015	松田 英美子	37	女	東京												30代女子	
DNF	1027	木島 歌織	43	女	東京												40代女子	
DNF	1043	宮岡 恵美	54	女	神奈川												50代女子	
DNF	1045	吉澤 千賀子	56	女	神奈川												50代女子	
DNF	1047	山崎 明子	73	女	神奈川												70代女子	
DNF	9029	林 哲也	30	男	神奈川												30代男子	
DNF	9033	生沼 聖司	31	男	神奈川												30代男子	
DNF	9046	土屋 雅尚	32	男	東京												30代男子	
DNF	9055	西谷 篤	33	男	東京												30代男子	
DNF	9068	石田 顕教	36	男	神奈川												30代男子	
DNF	9074	桃山 現	36	男	東京												30代男子	
DNF	9077	庄子 政秀	37	男	茨城												30代男子	
DNF	9096	嶋崎 喜祥	40	男	東京												40代男子	
DNF	9102	渡辺 大輔	40	男	東京												40代男子	
DNF	9105	江頭 敬三	41	男	神奈川												40代男子	
DNF	9106	後藤 恵介	41	男	神奈川												40代男子	
DNF	9111	今井 大輔	42	男	東京												40代男子	
DNF	9113	勝村 航治	42	男	千葉												40代男子	
DNF	9115	小林 正英	42	男	神奈川												40代男子	
DNF	9119	曽我 重之	42	男	神奈川												40代男子	
DNF	9123	浅川 征彦	43	男	神奈川												40代男子	
DNF	9134	守谷 健	43	男	神奈川												40代男子	
DNF	9144	原 一男	44	男	徳島												40代男子	
DNF	9145	ピーターズ トム	44	男	東京												40代男子	
DNF	9160	奥山 裕	46	男	神奈川												40代男子	
DNF	9170	堂城川 厚	46	男	神奈川												40代男子	
DNF	9186	松永 健司	47	男	埼玉												40代男子	
DNF	9195	道端 俊二	48	男	大阪												40代男子	
DNF	9200	菅原 圭	49	男	千葉												40代男子	
DNF	9201	鍋谷 能文	49	男	東京												40代男子	
DNF	9209	小林 成央	50	男	神奈川												50代男子	
DNF	9222	太田 久士	52	男	神奈川												50代男子	
DNF	9223	堀内 康浩	52	男	東京												50代男子	
DNF	9235	横山 輝昭	53	男	神奈川												50代男子	
DNF	9239	宮崎 昭文	54	男	神奈川												50代男子	
DNF	9255	須藤 正弘	61	男	神奈川												60代男子	
DNF	9265	藤田 勉	68	男	東京												60代男子	
